gameid,avg_kd,sum_likelihood
6378940058998742096,0.8235682302401957,68,0.0001594026680567418
7396362227313395698,0.9259533007746544,138,0.01220236694022305
9915229673310442490,0.9695185529462098,147,0.1258843493686143
5669120971337825538,1.035797264700686,144,0.6969186138173656
3668232941043473133,0.8525742510690262,143,6.193878346538234e-06
6421229445246621598,0.8375795811853374,37,0.007623644598306283
16493527808992349529,0.9747690090089057,143,0.16007419136811554
2958543365043127613,0.9644669187528111,141,0.10522016475200689
8744243029633071578,0.7503637086318458,139,7.192048450143722e-14
9119214437895258747,0.8199844214518884,125,3.002699733979462e-07
15949947626911145351,0.9973730126013962,142,0.3376027907428563
13876726373445262081,0.9682960777105561,40,0.2791214242425916
8621289463615185738,1.342501818135644,147,0.9911855927204835
8264962408260813064,1.2581312737748402,149,0.9910660212710701
1075604815075003098,1.3353570769926408,149,0.9910662060477129
5724254694330450155,1.1897352929083749,150,0.990953603478629
11123197587749342655,1.167273666767228,145,0.990953683695485
7739102685125377043,1.178676374654107,148,0.9909908096710309
4026959154285064435,0.9674712106733109,146,0.11564133253707852
3330071261950177516,0.8849386187309036,132,0.0004850759681419583
5966157953032732198,0.8516219548906951,134,1.0472156518102523e-05
6130241167992603225,0.9570600683320437,150,0.06779330731542968
12664149416940250155,0.9620090281786902,145,0.09092765068881067
562208587603029100,0.9801627734867872,136,0.20249528838524092
17227145598376323954,1.0884269867734855,146,0.9520407910002964
6275671118008586401,1.0289223095978903,148,0.6394010869983554
997681424951168331,1.0075352881936355,145,0.433118550852715
3589615215565336203,1.2023037232741762,150,0.990986926051197
2692291897431706264,1.112145277725565,142,0.9791372228751726
9881910083564911641,1.087658719045504,152,0.953273075399014
10150844838093075712,1.0643675290732502,149,0.8815379208342813
17294556735374422761,1.1882523169599315,148,0.9910600685547104
10020955243725412603,1.2566102332041647,149,0.9910659951612358
837062366318691529,0.9784132506235341,142,0.18476515050002282
15144721531302818214,1.1709914746738659,145,0.9910334554276764
16900754421460274664,0.9260861385443143,138,0.01230747592397779
7721188798545273823,0.928943052045694,141,0.014084097658601448
7722755056733916325,1.0916302567491205,148,0.9584795903740415
12410383165070568520,1.323806018191803,145,0.9913049931501821
18174847731059322283,0.9841731134065693,74,0.29965999125470183
877113042132551224,0.9205883225009727,144,0.007181122424648129
5973255962817184251,1.095331283372161,136,0.9597327659115115
6425590813766265285,0.9141609758532788,96,0.016383127224441286
1992662708338893581,0.8524566911458566,33,0.018965172694469967
5504631122219727284,0.9117730547451214,39,0.08393265961412744
17001369479506218608,1.0246476457875622,146,0.5990832381158565
1043838456328233666,1.2188123064385883,143,0.9914163323426218
5300854298556525390,1.0356308667115786,140,0.6934517057913225
8516612967762562834,0.9991875390446049,149,0.3510358923376511
2112635012464312372,1.1107538462671394,146,0.9789435929904077
526039276483101153,1.2089064476707048,145,0.9912894195008022
2057738032907097760,1.258454031153184,147,0.9911853788934847
9635291555056092008,1.1425117851541042,147,0.9894271442210635
16855725980289412141,0.9988799703001047,75,0.39824136740668264
18090954036723360662,0.9500687776924803,38,0.20597317432395582
12892400711494437825,1.20825575459487,148,0.9911121656382007
1450534799919121470,1.1659890681854292,140,0.9911312142617162
14373558468286451604,0.8571953621554362,143,1.1428627345047975e-05
16779592627417998668,0.8638544751854449,143,2.6593499393463564e-05
16538590251277813345,0.9177893882366932,145,0.005674410526896837
14539680046193637940,1.0038889864127083,40,0.4603594785410236
18437049141487087170,0.928540921577849,40,0.12452304421005839
13156516186814228460,1.0592475017482796,39,0.7277351397206722
17465533893011954394,0.9582187809251111,143,0.07707025937899928
450173892727691047,0.8840503512264569,38,0.03915847537983554
7443377242535795830,1.0786575919223833,35,0.7876340917241628
18311197925925734382,1.0579865843394147,38,0.7189357943622143
57958493356373565,1.0712187622766796,39,0.7729074988505555
1770968212998148190,0.9427606274304848,36,0.18561289206904596
14186751939007011411,1.0221180312578784,72,0.562135709090754
13867023072130179744,0.9958252211922645,39,0.41820613119982364
11712939095656369752,0.7612293400213465,39,9.912841417732764e-05
15951890332659239722,0.9364160841177391,39,0.15343786124685044
13362759825989654096,0.7440447516510195,139,1.610507594061274e-14
12780867438343994834,0.6834648754291874,135,2.6240766898104923e-21
2784515471276740958,1.152921908875884,150,0.990212004394921
3889102983641425860,0.9495587887681123,133,0.055189808245161225
12343680582731825485,0.8491734828901426,139,5.264733161982302e-06
17960627645786217666,0.6648574887721295,129,6.516435795029278e-23
6883738915388709392,0.7616494002522542,136,1.6675672352770092e-12
11832299000923243043,0.7995749132133563,133,4.516554986346998e-09
7963034917005816314,0.9635779978845398,145,0.09768358034979352
12184570829994860649,0.7777464115011334,37,0.0003970404407582295
8018547210128358340,1.169823338965668,145,0.9910098342956576
4344909025052037687,1.124952243281924,40,0.9157219272547998
1510682463003336241,0.9197301781089888,143,0.006910648799455267
15204777370665016310,1.2235448886508866,144,0.9913595009098861
17326335140318473453,1.0145825358064022,138,0.5022651113908059
17178693777113324812,1.1191270436995167,151,0.9841018988140591
14949439463783608017,1.1197390604665636,147,0.983970553261006
14455535145959848534,1.3610434438511168,150,0.9910065182452062
600750999122191008,1.0794243899791947,150,0.9339367954167354
16135681612124736774,1.1160341800950409,36,0.8894758436828331
10759342150191968057,1.05162964435333,37,0.6905779845953665
3834051523346352744,0.9839143238880612,37,0.36162551486571776
